#,Job_ID,ModelFile,@@n50@@,@@TURN@@,@@flag_AW@@,@@EXT_WALL@@,@@EXT_ROOF@@,@@EXT_WINDOW_street@@,@@EXT_WINDOW_patio@@,@@M04_WALL@@,@@AI02_ROOF@@,Message,Errors,Warnings,Calculation Time,Trace %Time,Trace Components
0,BC0_0,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES,B_1901-1940_ROOF1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.01,0.01,"TRNSYS Completed Successfully",0,30,1362.1500 Seconds,0.0%,-
2,BC0_180,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES,B_1901-1940_ROOF1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.01,0.01,"TRNSYS Completed Successfully",0,31,1343.1200 Seconds,0.0%,-
3,BC0_270,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES,B_1901-1940_ROOF1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.01,0.01,"TRNSYS Completed Successfully",0,31,1344.3600 Seconds,0.0%,-
1,BC0_90,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES,B_1901-1940_ROOF1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.01,0.01,"TRNSYS Completed Successfully",0,31,1344.4800 Seconds,0.0%,-
12,P111_0_W8_R10,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,"TRNSYS Completed Successfully",0,30,1354.2800 Seconds,0.0%,-
16,P111_0_W8_R12,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.12,"TRNSYS Completed Successfully",0,30,1355.3800 Seconds,0.0%,-
20,P111_0_W8_R14,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.14,"TRNSYS Completed Successfully",0,30,1569.5400 Seconds,0.0%,-
4,P111_0_W8_R6,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.06,"TRNSYS Completed Successfully",0,30,1326.6500 Seconds,0.0%,-
8,P111_0_W8_R8,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.08,"TRNSYS Completed Successfully",0,30,1361.4200 Seconds,0.0%,-
14,P111_180_W8_R10,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,"TRNSYS Completed Successfully",0,31,1354.0200 Seconds,0.0%,-
18,P111_180_W8_R12,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.12,"TRNSYS Completed Successfully",0,31,1337.6100 Seconds,0.0%,-
22,P111_180_W8_R14,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.14,"TRNSYS Completed Successfully",0,31,1553.9000 Seconds,0.0%,-
6,P111_180_W8_R6,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.06,"TRNSYS Completed Successfully",0,31,1328.8800 Seconds,0.0%,-
10,P111_180_W8_R8,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.08,"TRNSYS Completed Successfully",0,31,1354.9500 Seconds,0.0%,-
15,P111_270_W8_R10,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,"TRNSYS Completed Successfully",0,31,1337.0300 Seconds,0.0%,-
19,P111_270_W8_R12,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.12,"TRNSYS Completed Successfully",0,31,1337.3199 Seconds,0.0%,-
23,P111_270_W8_R14,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.14,"TRNSYS Completed Successfully",0,31,1563.6600 Seconds,0.0%,-
7,P111_270_W8_R6,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.06,"TRNSYS Completed Successfully",0,31,1332.8000 Seconds,0.0%,-
11,P111_270_W8_R8,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.08,"TRNSYS Completed Successfully",0,31,1322.9700 Seconds,0.0%,-
13,P111_90_W8_R10,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,"TRNSYS Completed Successfully",0,31,1336.8199 Seconds,0.0%,-
17,P111_90_W8_R12,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.12,"TRNSYS Completed Successfully",0,31,1356.2600 Seconds,0.0%,-
