 TIME                    	APP_anual_FF             	L_anual_FF               	H_anual_FF               	C_anual_FF               	DHW_anual_FF             	
  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.0000000000000000E+00	  +9.0933793077600594E-04	  +1.4656728444802580E-04	  +3.2890730027178784E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.0000000000000000E+00	  +8.5265071304087129E-04	  +0.0000000000000000E+00	  +5.4980653577243292E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +3.0000000000000000E+00	  +8.5920956467964711E-04	  +0.0000000000000000E+00	  +6.1274311508005812E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +4.0000000000000000E+00	  +9.1261735659539395E-04	  +2.9313456889605159E-04	  +6.5090275810785903E-03	  +0.0000000000000000E+00	  +7.2428483043578042E-03	
  +5.0000000000000000E+00	  +9.4634859359481248E-04	  +1.4656728444802580E-04	  +3.3924410972305027E-03	  +0.0000000000000000E+00	  -4.6284194039097049E-21	
  +6.0000000000000000E+00	  +1.2040177651181539E-03	  +1.6122401289282834E-03	  +6.4596034341486098E-03	  +0.0000000000000000E+00	  +4.6749918403536097E-21	
  +7.0000000000000000E+00	  +9.1589678241478186E-04	  +1.3191055600322321E-03	  +6.5666269519668793E-03	  +0.0000000000000000E+00	  +9.4761811119898113E-04	
  +8.0000000000000000E+00	  +9.0933793077600615E-04	  +1.3191055600322321E-03	  +7.4249139333865764E-03	  +0.0000000000000000E+00	  +3.7908120145357124E-04	
  +9.0000000000000000E+00	  +9.1636527181754941E-04	  +1.1725382755842064E-03	  +7.4018834886468484E-03	  +0.0000000000000000E+00	  -5.6310548115772537E-22	
  +1.0000000000000000E+01	  +1.7737008788861119E-03	  +2.9313456889605146E-03	  +1.5522857158917269E-02	  +0.0000000000000000E+00	  +1.8947789740029011E-04	
  +1.1000000000000000E+01	  +9.9464985102037506E-03	  +2.9313456889605146E-03	  +1.0500041009673848E-02	  +0.0000000000000000E+00	  +1.0885245122916306E-02	
  +1.2000000000000000E+01	  +1.5820887131533063E-03	  +1.1725382755842064E-03	  +1.1181740252380211E-02	  +0.0000000000000000E+00	  +7.5848266660940526E-04	
  +1.3000000000000000E+01	  +8.5265071304087097E-04	  +0.0000000000000000E+00	  +1.0587548026003875E-02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.4000000000000000E+01	  +8.5265071304087097E-04	  +0.0000000000000000E+00	  +1.0639045249192460E-02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.5000000000000000E+01	  +9.0933793077600583E-04	  +0.0000000000000000E+00	  +1.1608708041175623E-02	  +0.0000000000000000E+00	  -2.5797457725834397E-18	
  +1.6000000000000000E+01	  +1.0053782583437987E-03	  +1.4656728444802578E-03	  +1.1537307550627455E-02	  +0.0000000000000000E+00	  +9.4786468759813715E-04	
  +1.7000000000000000E+01	  +8.5265071304087129E-04	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.8000000000000000E+01	  +8.5265071304087129E-04	  +1.3191055600322321E-03	  +1.1096714151234534E-02	  +0.0000000000000000E+00	  +7.0117384316021585E-03	
  +1.9000000000000000E+01	  +2.8521634840619941E-03	  +2.7847784045124889E-03	  +1.6685529673806241E-02	  +0.0000000000000000E+00	  +3.7921644249200770E-04	
  +2.0000000000000000E+01	  +1.8139909675243136E-03	  +2.9313456889605146E-03	  +1.6544338660449010E-02	  +0.0000000000000000E+00	  +3.6347903476435400E-03	
  +2.1000000000000000E+01	  +2.3312032681820534E-03	  +1.6122401289282834E-03	  +9.5599889364789952E-03	  +0.0000000000000000E+00	  +1.8990723315496041E-04	
  +2.2000000000000000E+01	  +1.3478440117684504E-02	  +2.3450765511684119E-03	  +1.1911705604643347E-02	  +0.0000000000000000E+00	  +7.5924065949220542E-04	
  +2.3000000000000000E+01	  +1.5108783239323122E-03	  +2.7847784045124889E-03	  +1.8181075435289958E-02	  +0.0000000000000000E+00	  +5.6821713870286645E-04	
  +2.4000000000000000E+01	  +1.5539793489871222E-03	  +2.9313456889605146E-03	  +1.9334495493336747E-02	  +0.0000000000000000E+00	  +5.6819334358201563E-04	
  +2.5000000000000000E+01	  +9.6602514851113722E-04	  +1.4656728444802580E-04	  +2.1548968772421351E-02	  +0.0000000000000000E+00	  -4.3074032603754263E-22	
  +2.6000000000000000E+01	  +8.5265071304087097E-04	  +0.0000000000000000E+00	  +2.3134457729033230E-02	  +0.0000000000000000E+00	  -2.6060054448693920E-22	
  +2.7000000000000000E+01	  +8.5265071304087097E-04	  +0.0000000000000000E+00	  +2.7018669202296775E-02	  +0.0000000000000000E+00	  -7.9503587385157030E-22	
  +2.8000000000000000E+01	  +8.5265071304087097E-04	  +1.0259709911361807E-03	  +2.8629803194691075E-02	  +0.0000000000000000E+00	  +5.6692019611509470E-04	
  +2.9000000000000000E+01	  +1.0569120926484656E-03	  +5.8626913779210319E-04	  +1.7642491711004453E-02	  +0.0000000000000000E+00	  -4.3568271429439230E-21	
  +3.0000000000000000E+01	  +8.5265071304087129E-04	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +3.1000000000000000E+01	  +1.1422708618331060E-02	  +1.6122401289282834E-03	  +2.6089517574583762E-02	  +0.0000000000000000E+00	  +5.4160523108071002E-21	
  +3.2000000000000000E+01	  +2.1808181698930004E-03	  +2.9313456889605146E-03	  +3.3395929061948118E-02	  +0.0000000000000000E+00	  +3.6259479425069987E-03	
  +3.3000000000000000E+01	  +1.6387759308884469E-03	  +2.7847784045124889E-03	  +3.2723893244404494E-02	  +0.0000000000000000E+00	  +9.9047090896459464E-21	
  +3.4000000000000000E+01	  +1.3061484549219660E-03	  +1.1725382755842064E-03	  +1.6358400133975163E-02	  +0.0000000000000000E+00	  +4.9371453145442399E-21	
  +3.5000000000000000E+01	  +6.5897719393587621E-03	  +1.0259709911361807E-03	  +2.5815948035081100E-02	  +0.0000000000000000E+00	  +1.8927725318299747E-04	
  +3.6000000000000000E+01	  +1.4762101081273592E-03	  +0.0000000000000000E+00	  +2.1240588049300190E-02	  +0.0000000000000000E+00	  +7.5733902906336878E-04	
  +3.7000000000000000E+01	  +8.5265071304087129E-04	  +0.0000000000000000E+00	  +1.8094626842628310E-02	  +0.0000000000000000E+00	  +4.4737039195356691E-22	
  +3.8000000000000000E+01	  +8.5265071304087129E-04	  +0.0000000000000000E+00	  +2.1257814030418813E-02	  +0.0000000000000000E+00	  +4.9997710308970135E-22	
  +3.9000000000000000E+01	  +8.5265071304087129E-04	  +0.0000000000000000E+00	  +1.9451712633910243E-02	  +0.0000000000000000E+00	  -8.2763896005989028E-23	
  +4.0000000000000000E+01	  +8.5265071304087129E-04	  +1.4656728444802580E-04	  +2.1361293771934273E-02	  +0.0000000000000000E+00	  +1.8930556505841045E-04	
  +4.1000000000000000E+01	  +8.9949965331783560E-04	  +2.9313456889605146E-03	  +2.1985202187085873E-02	  +0.0000000000000000E+00	  +1.4266814114714798E-02	
  +4.2000000000000000E+01	  +1.1135993103835978E-03	  +2.9313456889605146E-03	  +2.4427608042213677E-02	  +0.0000000000000000E+00	  +3.7847703993282289E-04	
  +4.3000000000000000E+01	  +6.8062140434384365E-03	  +2.6382111200644633E-03	  +2.0988728885512193E-02	  +0.0000000000000000E+00	  +3.7862172299833567E-04	
  +4.4000000000000000E+01	  +1.4466952757528613E-03	  +2.3450765511684119E-03	  +2.1475073364996818E-02	  +0.0000000000000000E+00	  +1.1067357296433610E-02	
  +4.5000000000000000E+01	  +1.1004816071060553E-03	  +1.3191055600322321E-03	  +1.5069302811267450E-02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +4.6000000000000000E+01	  +1.8403669209002632E-02	  +2.7847784045124889E-03	  +1.8423393373613407E-02	  +0.0000000000000000E+00	  +1.8966994607565619E-04	
  +4.7000000000000000E+01	  +7.3318591533459154E-03	  +2.9313456889605146E-03	  +2.4074008469230197E-02	  +0.0000000000000000E+00	  +7.5675577916836743E-04	
  +4.8000000000000000E+01	  +1.4391994453085374E-03	  +2.9313456889605146E-03	  +2.7656549302446896E-02	  +0.0000000000000000E+00	  +5.1388361263401822E-03	
  +4.9000000000000000E+01	  +8.5920956467964722E-04	  +1.1725382755842064E-03	  +2.9477907858330436E-02	  +0.0000000000000000E+00	  +3.7826659760261869E-04	
  +5.0000000000000000E+01	  +8.5265071304087129E-04	  +0.0000000000000000E+00	  +3.0823713152944451E-02	  +0.0000000000000000E+00	  -1.8503055627507046E-22	
  +5.1000000000000000E+01	  +8.5265071304087129E-04	  +0.0000000000000000E+00	  +3.1905218585852962E-02	  +0.0000000000000000E+00	  -1.4342942954578079E-22	
  +5.2000000000000000E+01	  +9.0605850495662627E-04	  +4.3970185334407739E-04	  +3.1355262622717719E-02	  +0.0000000000000000E+00	  +7.0291156836793309E-03	
  +5.3000000000000000E+01	  +9.1261735659539287E-04	  +2.9313456889605159E-04	  +6.1045091877630197E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4000000000000000E+01	  +1.4902647902104297E-03	  +2.6382111200644633E-03	  +3.3173524133573461E-02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5000000000000000E+01	  +2.7191124936754634E-03	  +2.1985092667203862E-03	  +3.6287621268332633E-02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.6000000000000000E+01	  +5.3923130258794428E-03	  +2.6382111200644633E-03	  +3.2924813586192488E-02	  +0.0000000000000000E+00	  +1.8808832394098701E-04	
  +5.7000000000000000E+01	  +1.4406049135168386E-03	  +1.9053746978243348E-03	  +2.3937984618656316E-02	  +0.0000000000000000E+00	  +2.1128394706520833E-20	
  +5.8000000000000000E+01	  +1.1501414837996307E-03	  +1.3191055600322321E-03	  +1.7447500797840604E-02	  +0.0000000000000000E+00	  +2.6528111755587152E-20	
  +5.9000000000000000E+01	  +2.5406180312201026E-03	  +2.4916438356164376E-03	  +3.2678384005625005E-02	  +0.0000000000000000E+00	  +4.0048465538318557E-03	
  +6.0000000000000000E+01	  +1.8088375840938700E-03	  +0.0000000000000000E+00	  +2.7853014394255610E-02	  +0.0000000000000000E+00	  -7.9848601206517295E-22	
  +6.1000000000000000E+01	  +9.0933793077601136E-04	  +0.0000000000000000E+00	  +2.6423196880445535E-02	  +0.0000000000000000E+00	  -3.4217554014608983E-22	
  +6.2000000000000000E+01	  +8.5265071304087129E-04	  +0.0000000000000000E+00	  +2.4464540967477695E-02	  +0.0000000000000000E+00	  -4.8798232846898092E-22	
  +6.3000000000000000E+01	  +8.5265071304087129E-04	  +2.9313456889605159E-04	  +2.6487181845384015E-02	  +0.0000000000000000E+00	  -5.7702290445069776E-22	
  +6.4000000000000000E+01	  +8.7232726795720037E-04	  +2.9313456889605146E-03	  +2.7505882615580009E-02	  +0.0000000000000000E+00	  +9.4562395742764859E-04	
  +6.5000000000000000E+01	  +9.0933793077600951E-04	  +1.7588074133763091E-03	  +2.0531425657841652E-02	  +0.0000000000000000E+00	  +1.8913930180790712E-04	
  +6.6000000000000000E+01	  +1.1360868017165414E-03	  +5.8626913779210319E-04	  +6.3754279583637689E-03	  +0.0000000000000000E+00	  -9.2966229185068504E-21	
  +6.7000000000000000E+01	  +1.1925866236905568E-02	  +2.3450765511684119E-03	  +3.0445984201169434E-02	  +0.0000000000000000E+00	  +1.8797216222886121E-04	
  +6.8000000000000000E+01	  +7.4630361861216243E-03	  +2.9313456889605146E-03	  +3.2261349061660373E-02	  +0.0000000000000000E+00	  +1.0660451488913609E-02	
  +6.9000000000000000E+01	  +2.5860615032888123E-03	  +1.1725382755842064E-03	  +1.3613392000538795E-02	  +0.0000000000000000E+00	  -1.1119581758707861E-20	
  +7.0000000000000000E+01	  +1.2635159192699098E-03	  +1.0259709911361807E-03	  +1.7719838154708255E-02	  +0.0000000000000000E+00	  -2.0509816134534037E-20	
  +7.1000000000000000E+01	  +1.6603264434158329E-03	  +2.9313456889605146E-03	  +3.6935684851976416E-02	  +0.0000000000000000E+00	  +5.6679438558225050E-04	
  +7.2000000000000000E+01	  +1.4195228903922004E-03	  +2.7847784045124889E-03	  +3.5648118168795748E-02	  +0.0000000000000000E+00	  +7.5582371576827178E-04	
  +7.3000000000000000E+01	  +8.5265071304087129E-04	  +0.0000000000000000E+00	  +3.6430909480360971E-02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.4000000000000000E+01	  +8.5265071304087129E-04	  +0.0000000000000000E+00	  +3.6367039936498938E-02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.5000000000000000E+01	  +8.5265071304087129E-04	  +0.0000000000000000E+00	  +3.7846897089712235E-02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.6000000000000000E+01	  +9.6602514851114091E-04	  +4.3970185334407739E-04	  +3.3322810501941282E-02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.7000000000000000E+01	  +8.5265071304087129E-04	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.8000000000000000E+01	  +9.1636527181757055E-04	  +1.4656728444802580E-04	  +3.5994708231182715E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.9000000000000000E+01	  +5.3538968948523228E-03	  +2.4916438356164376E-03	  +3.8137884853897804E-02	  +0.0000000000000000E+00	  +3.7815757186239869E-04	
  +8.0000000000000000E+01	  +5.4344770721285671E-03	  +2.7847784045124889E-03	  +3.7741106865576961E-02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.1000000000000000E+01	  +1.3698630136986369E-03	  +1.0259709911361807E-03	  +2.0181746431547701E-02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.2000000000000000E+01	  +1.5966118846391622E-03	  +1.9053746978243348E-03	  +3.3337766824598436E-02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.3000000000000000E+01	  +1.3970353990592859E-03	  +2.6382111200644633E-03	  +3.9828573124363907E-02	  +0.0000000000000000E+00	  +3.6231332678568831E-03	
  +8.4000000000000000E+01	  +1.4195228903922357E-03	  +2.9313456889605146E-03	  +3.8780150562382244E-02	  +0.0000000000000000E+00	  +1.0835160883130857E-02	
  +8.5000000000000000E+01	  +9.8007983059423143E-04	  +2.9313456889605146E-03	  +3.6595092208459988E-02	  +0.0000000000000000E+00	  +1.2056502058224932E-21	
  +8.6000000000000000E+01	  +8.5265071304087129E-04	  +2.9313456889605146E-03	  +3.5337831877638053E-02	  +0.0000000000000000E+00	  +8.2299748994356097E-22	
  +8.7000000000000000E+01	  +8.5265071304087129E-04	  +2.9313456889605146E-03	  +3.4534190070306850E-02	  +0.0000000000000000E+00	  +3.7090475955711042E-22	
  +8.8000000000000000E+01	  +8.5265071304087129E-04	  +2.9313456889605146E-03	  +3.4591995579919189E-02	  +0.0000000000000000E+00	  +1.8897852983630994E-04	
  +8.9000000000000000E+01	  +9.9319753387178567E-04	  +2.3450765511684119E-03	  +2.9025596818401455E-02	  +0.0000000000000000E+00	  +1.1338685943093757E-03	
  +9.0000000000000000E+01	  +1.1337443547026961E-03	  +5.8626913779210319E-04	  +1.1508067973312061E-02	  +0.0000000000000000E+00	  -2.8339405110707425E-20	
  +9.1000000000000000E+01	  +1.2592995146449731E-03	  +1.9053746978243348E-03	  +3.2049259859526204E-02	  +0.0000000000000000E+00	  +9.4435791022615199E-04	
  +9.2000000000000000E+01	  +2.8245226092985533E-03	  +2.9313456889605146E-03	  +3.7496618735669347E-02	  +0.0000000000000000E+00	  +7.5589780201402534E-04	
  +9.3000000000000000E+01	  +1.2705432603114480E-03	  +2.3450765511684119E-03	  +3.1345867326378167E-02	  +0.0000000000000000E+00	  +9.4456235644665802E-04	
  +9.4000000000000000E+01	  +5.0329816539549143E-03	  +2.3450765511684119E-03	  +3.1239943646415282E-02	  +0.0000000000000000E+00	  +5.6678370868968111E-04	
  +9.5000000000000000E+01	  +1.1520154414107139E-02	  +2.9313456889605146E-03	  +3.3378112371481722E-02	  +0.0000000000000000E+00	  +1.5125511888169224E-03	
  +9.6000000000000000E+01	  +1.6462717613327563E-03	  +2.7847784045124889E-03	  +3.8201098511154392E-02	  +0.0000000000000000E+00	  +1.5111058990694630E-03	
  +9.7000000000000000E+01	  +8.5265071304087129E-04	  +0.0000000000000000E+00	  +4.0882682753813578E-02	  +0.0000000000000000E+00	  +7.0179402698675591E-03	
  +9.8000000000000000E+01	  +8.5265071304087129E-04	  +0.0000000000000000E+00	  +4.5049992680237294E-02	  +0.0000000000000000E+00	  -1.2957054869860488E-21	
  +9.9000000000000000E+01	  +8.5265071304087129E-04	  +0.0000000000000000E+00	  +4.5589615011707219E-02	  +0.0000000000000000E+00	  +1.0042340036346412E-21	
  +1.0000000000000000E+02	  +8.5265071304087129E-04	  +2.9313456889605159E-04	  +1.7406949896073737E-02	  +0.0000000000000000E+00	  +1.8876735103968186E-04	
  +1.0100000000000000E+02	  +2.0594794145755916E-03	  +4.3970185334407739E-04	  +1.2173058601993065E-02	  +0.0000000000000000E+00	  +3.7641597262660773E-04	
  +1.0200000000000000E+02	  +3.2897325862489236E-03	  +4.3970185334407739E-04	  +8.9786630384903737E-03	  +0.0000000000000000E+00	  +1.8990723315496859E-04	
  +1.0300000000000000E+02	  +1.0227123662462604E-03	  +2.9313456889605159E-04	  +7.1989416462365429E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.0400000000000000E+02	  +1.6041077150834721E-03	  +2.9313456889605146E-03	  +5.7084393969434127E-02	  +0.0000000000000000E+00	  +6.8939689637831788E-21	
  +1.0500000000000000E+02	  +1.6406498884995035E-03	  +2.9313456889605146E-03	  +5.1562860818472958E-02	  +0.0000000000000000E+00	  -6.5910827986705430E-22	
  +1.0600000000000000E+02	  +2.9388340235742823E-03	  +2.9313456889605146E-03	  +4.6933876120299263E-02	  +0.0000000000000000E+00	  +1.3585794896705026E-21	
  +1.0700000000000000E+02	  +4.6104042126567137E-03	  +0.0000000000000000E+00	  +3.9532863061181152E-02	  +0.0000000000000000E+00	  +7.5849109115574687E-03	
  +1.0800000000000000E+02	  +9.1636527181755516E-04	  +0.0000000000000000E+00	  +3.8290112340732055E-02	  +0.0000000000000000E+00	  +1.8888584594703377E-04	
