,Eur
1,0.084
2,0.084
3,0.084
4,0.084
5,0.084
6,0.084
7,0.084
8,0.127
9,0.127
10,0.224
11,0.224
12,0.224
13,0.224
14,0.127
15,0.127
16,0.127
17,0.127
18,0.224
19,0.224
20,0.224
21,0.224
22,0.127
23,0.127
24,0.084
25,0.084
26,0.084
27,0.084
28,0.084
29,0.084
30,0.084
31,0.127
32,0.127
33,0.224
34,0.224
35,0.224
36,0.224
37,0.127
38,0.127
39,0.127
40,0.127
41,0.224
42,0.224
43,0.224
44,0.224
45,0.127
46,0.127
47,0.084
48,0.084
49,0.084
50,0.084
51,0.084
52,0.084
53,0.084
54,0.127
55,0.127
56,0.224
57,0.224
58,0.224
59,0.224
60,0.127
61,0.127
62,0.127
63,0.127
64,0.224
65,0.224
66,0.224
67,0.224
68,0.127
69,0.127
70,0.084
71,0.084
72,0.084
73,0.084
74,0.084
75,0.084
76,0.084
77,0.127
78,0.127
79,0.224
80,0.224
81,0.224
82,0.224
83,0.127
84,0.127
85,0.127
86,0.127
87,0.224
88,0.224
89,0.224
90,0.224
91,0.127
92,0.127
93,0.084
94,0.084
95,0.084
96,0.084
97,0.084
98,0.084
99,0.084
100,0.127
101,0.127
102,0.224
103,0.224
104,0.224
105,0.224
106,0.127
107,0.127
108,0.127
109,0.127
110,0.224
111,0.224
112,0.224
113,0.224
114,0.127
115,0.127
116,0.084
117,0.084
118,0.084
119,0.084
120,0.084
121,0.084
122,0.084
123,0.084
124,0.084
125,0.084
126,0.084
127,0.084
128,0.084
129,0.084
130,0.084
131,0.084
132,0.084
133,0.084
134,0.084
135,0.084
136,0.084
137,0.084
138,0.084
139,0.084
140,0.084
141,0.084
142,0.084
143,0.084
144,0.084
145,0.084
146,0.084
147,0.084
148,0.084
149,0.084
150,0.084
151,0.084
152,0.084
153,0.084
154,0.084
155,0.084
156,0.084
157,0.084
158,0.084
159,0.084
160,0.084
161,0.084
162,0.084
163,0.084
164,0.084
165,0.084
166,0.084
167,0.084
168,0.084
169,0.084
170,0.084
171,0.084
172,0.084
173,0.084
174,0.084
175,0.127
176,0.127
177,0.224
178,0.224
179,0.224
180,0.224
181,0.127
182,0.127
183,0.127
184,0.127
185,0.224
186,0.224
187,0.224
188,0.224
189,0.127
190,0.127
191,0.084
192,0.084
193,0.084
194,0.084
195,0.084
196,0.084
197,0.084
198,0.127
199,0.127
200,0.224
201,0.224
202,0.224
203,0.224
204,0.127
205,0.127
206,0.127
207,0.127
208,0.224
209,0.224
210,0.224
211,0.224
212,0.127
213,0.127
214,0.084
215,0.084
216,0.084
217,0.084
218,0.084
219,0.084
220,0.084
221,0.127
222,0.127
223,0.224
224,0.224
225,0.224
226,0.224
227,0.127
228,0.127
229,0.127
230,0.127
231,0.224
232,0.224
233,0.224
234,0.224
235,0.127
236,0.127
237,0.084
238,0.084
239,0.084
240,0.084
241,0.084
242,0.084
243,0.084
244,0.127
245,0.127
246,0.224
247,0.224
248,0.224
249,0.224
250,0.127
251,0.127
252,0.127
253,0.127
254,0.224
255,0.224
256,0.224
257,0.224
258,0.127
259,0.127
260,0.084
261,0.084
262,0.084
263,0.084
264,0.084
265,0.084
266,0.084
267,0.127
268,0.127
269,0.224
270,0.224
271,0.224
272,0.224
273,0.127
274,0.127
275,0.127
276,0.127
277,0.224
278,0.224
279,0.224
280,0.224
281,0.127
282,0.127
283,0.084
284,0.084
285,0.084
286,0.084
287,0.084
288,0.084
289,0.084
290,0.084
291,0.084
292,0.084
293,0.084
294,0.084
295,0.084
296,0.084
297,0.084
298,0.084
299,0.084
300,0.084
301,0.084
302,0.084
303,0.084
304,0.084
305,0.084
306,0.084
307,0.084
308,0.084
309,0.084
310,0.084
311,0.084
312,0.084
313,0.084
314,0.084
315,0.084
316,0.084
317,0.084
318,0.084
319,0.084
320,0.084
321,0.084
322,0.084
323,0.084
324,0.084
325,0.084
326,0.084
327,0.084
328,0.084
329,0.084
330,0.084
331,0.084
332,0.084
333,0.084
334,0.084
335,0.084
336,0.084
337,0.084
338,0.084
339,0.084
340,0.084
341,0.084
342,0.127
343,0.127
344,0.224
345,0.224
346,0.224
347,0.224
348,0.127
349,0.127
350,0.127
351,0.127
352,0.224
353,0.224
354,0.224
355,0.224
356,0.127
357,0.127
358,0.084
359,0.084
360,0.084
361,0.084
362,0.084
363,0.084
364,0.084
365,0.127
366,0.127
367,0.224
368,0.224
369,0.224
370,0.224
371,0.127
372,0.127
373,0.127
374,0.127
375,0.224
376,0.224
377,0.224
378,0.224
379,0.127
380,0.127
381,0.084
382,0.084
383,0.084
384,0.084
385,0.084
386,0.084
387,0.084
388,0.127
389,0.127
390,0.224
391,0.224
392,0.224
393,0.224
394,0.127
395,0.127
396,0.127
397,0.127
398,0.224
399,0.224
400,0.224
401,0.224
402,0.127
403,0.127
404,0.084
405,0.084
406,0.084
407,0.084
408,0.084
409,0.084
410,0.084
411,0.127
412,0.127
413,0.224
414,0.224
415,0.224
416,0.224
417,0.127
418,0.127
419,0.127
420,0.127
421,0.224
422,0.224
423,0.224
424,0.224
425,0.127
426,0.127
427,0.084
428,0.084
429,0.084
430,0.084
431,0.084
432,0.084
433,0.084
434,0.127
435,0.127
436,0.224
437,0.224
438,0.224
439,0.224
440,0.127
441,0.127
442,0.127
443,0.127
444,0.224
445,0.224
446,0.224
447,0.224
448,0.127
449,0.127
450,0.084
451,0.084
452,0.084
453,0.084
454,0.084
455,0.084
456,0.084
457,0.084
458,0.084
459,0.084
460,0.084
461,0.084
462,0.084
463,0.084
464,0.084
465,0.084
466,0.084
467,0.084
468,0.084
469,0.084
470,0.084
471,0.084
472,0.084
473,0.084
474,0.084
475,0.084
476,0.084
477,0.084
478,0.084
479,0.084
480,0.084
481,0.084
482,0.084
483,0.084
484,0.084
485,0.084
486,0.084
487,0.084
488,0.084
489,0.084
490,0.084
491,0.084
492,0.084
493,0.084
494,0.084
495,0.084
496,0.084
497,0.084
498,0.084
499,0.084
500,0.084
501,0.084
502,0.084
503,0.084
504,0.084
505,0.084
506,0.084
507,0.084
508,0.084
509,0.127
510,0.127
511,0.224
512,0.224
513,0.224
514,0.224
515,0.127
516,0.127
517,0.127
518,0.127
519,0.224
520,0.224
521,0.224
522,0.224
523,0.127
524,0.127
525,0.084
526,0.084
527,0.084
528,0.084
529,0.084
530,0.084
531,0.084
532,0.127
533,0.127
534,0.224
535,0.224
536,0.224
537,0.224
538,0.127
539,0.127
540,0.127
541,0.127
542,0.224
543,0.224
544,0.224
545,0.224
546,0.127
547,0.127
548,0.084
549,0.084
550,0.084
551,0.084
552,0.084
553,0.084
554,0.084
555,0.127
556,0.127
557,0.224
558,0.224
559,0.224
560,0.224
561,0.127
562,0.127
563,0.127
564,0.127
565,0.224
566,0.224
567,0.224
568,0.224
569,0.127
570,0.127
571,0.084
572,0.084
573,0.084
574,0.084
575,0.084
576,0.084
577,0.084
578,0.127
579,0.127
580,0.224
581,0.224
582,0.224
583,0.224
584,0.127
585,0.127
586,0.127
587,0.127
588,0.224
589,0.224
590,0.224
591,0.224
592,0.127
593,0.127
594,0.084
595,0.084
596,0.084
597,0.084
598,0.084
599,0.084
600,0.084
601,0.127
602,0.127
603,0.224
604,0.224
605,0.224
606,0.224
607,0.127
608,0.127
609,0.127
610,0.127
611,0.224
612,0.224
613,0.224
614,0.224
615,0.127
616,0.127
617,0.084
618,0.084
619,0.084
620,0.084
621,0.084
622,0.084
623,0.084
624,0.084
625,0.084
626,0.084
627,0.084
628,0.084
629,0.084
630,0.084
631,0.084
632,0.084
633,0.084
634,0.084
635,0.084
636,0.084
637,0.084
638,0.084
639,0.084
640,0.084
641,0.084
642,0.084
643,0.084
644,0.084
645,0.084
646,0.084
647,0.084
648,0.084
649,0.084
650,0.084
651,0.084
652,0.084
653,0.084
654,0.084
655,0.084
656,0.084
657,0.084
658,0.084
659,0.084
660,0.084
661,0.084
662,0.084
663,0.084
664,0.084
665,0.084
666,0.084
667,0.084
668,0.084
669,0.084
670,0.084
671,0.084
672,0.084
673,0.084
674,0.084
675,0.084
676,0.127
677,0.127
678,0.224
679,0.224
680,0.224
681,0.224
682,0.127
683,0.127
684,0.127
685,0.127
686,0.224
687,0.224
688,0.224
689,0.224
690,0.127
691,0.127
692,0.084
693,0.084
694,0.084
695,0.084
696,0.084
697,0.084
698,0.084
699,0.127
700,0.127
701,0.224
702,0.224
703,0.224
704,0.224
705,0.127
706,0.127
707,0.127
708,0.127
709,0.224
710,0.224
711,0.224
712,0.224
713,0.127
714,0.127
715,0.084
716,0.084
717,0.084
718,0.084
719,0.084
720,0.084
721,0.084
722,0.127
723,0.127
724,0.224
725,0.224
726,0.224
727,0.224
728,0.127
729,0.127
730,0.127
731,0.127
732,0.224
733,0.224
734,0.224
735,0.224
736,0.127
737,0.127
738,0.084
739,0.084
740,0.084
741,0.084
742,0.084
743,0.084
744,0.084
745,0.127
746,0.127
747,0.224
748,0.224
749,0.224
750,0.224
751,0.127
752,0.127
753,0.127
754,0.127
755,0.224
756,0.224
757,0.224
758,0.224
759,0.127
760,0.127
761,0.084
762,0.084
763,0.084
764,0.084
765,0.084
766,0.084
767,0.084
768,0.127
769,0.127
770,0.224
771,0.224
772,0.224
773,0.224
774,0.127
775,0.127
776,0.127
777,0.127
778,0.224
779,0.224
780,0.224
781,0.224
782,0.127
783,0.127
784,0.084
785,0.084
786,0.084
787,0.084
788,0.084
789,0.084
790,0.084
791,0.084
792,0.084
793,0.084
794,0.084
795,0.084
796,0.084
797,0.084
798,0.084
799,0.084
800,0.084
801,0.084
802,0.084
803,0.084
804,0.084
805,0.084
806,0.084
807,0.084
808,0.084
809,0.084
810,0.084
811,0.084
812,0.084
813,0.084
814,0.084
815,0.084
816,0.084
817,0.084
818,0.084
819,0.084
820,0.084
821,0.084
822,0.084
823,0.084
824,0.084
825,0.084
826,0.084
827,0.084
828,0.084
829,0.084
830,0.084
831,0.084
832,0.084
833,0.084
834,0.084
835,0.084
836,0.084
837,0.084
838,0.084
839,0.084
840,0.084
841,0.084
842,0.084
843,0.127
844,0.127
845,0.224
846,0.224
847,0.224
848,0.224
849,0.127
850,0.127
851,0.127
852,0.127
853,0.224
854,0.224
855,0.224
856,0.224
857,0.127
858,0.127
859,0.084
860,0.084
861,0.084
862,0.084
863,0.084
864,0.084
865,0.084
866,0.127
867,0.127
868,0.224
869,0.224
870,0.224
871,0.224
872,0.127
873,0.127
874,0.127
875,0.127
876,0.224
877,0.224
878,0.224
879,0.224
880,0.127
881,0.127
882,0.084
883,0.084
884,0.084
885,0.084
886,0.084
887,0.084
888,0.084
889,0.127
890,0.127
891,0.224
892,0.224
893,0.224
894,0.224
895,0.127
896,0.127
897,0.127
898,0.127
899,0.224
900,0.224
901,0.224
902,0.224
903,0.127
904,0.127
905,0.084
906,0.084
907,0.084
908,0.084
909,0.084
910,0.084
911,0.084
912,0.127
913,0.127
914,0.224
915,0.224
916,0.224
917,0.224
918,0.127
919,0.127
920,0.127
921,0.127
922,0.224
923,0.224
924,0.224
925,0.224
926,0.127
927,0.127
928,0.084
929,0.084
930,0.084
931,0.084
932,0.084
933,0.084
934,0.084
935,0.127
936,0.127
937,0.224
938,0.224
939,0.224
940,0.224
941,0.127
942,0.127
943,0.127
944,0.127
945,0.224
946,0.224
947,0.224
948,0.224
949,0.127
950,0.127
951,0.084
952,0.084
953,0.084
954,0.084
955,0.084
956,0.084
957,0.084
958,0.084
959,0.084
960,0.084
961,0.084
962,0.084
963,0.084
964,0.084
965,0.084
966,0.084
967,0.084
968,0.084
969,0.084
970,0.084
971,0.084
972,0.084
973,0.084
974,0.084
975,0.084
976,0.084
977,0.084
978,0.084
979,0.084
