,dataDay,dataMonth,dataYear,community,province,municipality,postalCode,fare,timeDiscrimination,measurePointType,sumEnergy,sumContracts,tension,economicSector,distributor,mi1,mi2,mi3,mi4,mi5,mi6,mi7,mi8,mi9,mi10,mi11,mi12,mi13,mi14,mi15,mi16,mi17,mi18,mi19,mi20,mi21,mi22,mi23,mi24,mi25
7,1,1,2019,"Balears, Illes",,,7006,,,,165590,45607,3.630802289,RESIDENCIAL,,6500,5885,5137,4497,4047,3666,3835,3925,4283,5031,5993,6548,6981,7241,7110,6670,6483,7059,8266,8990,9699,9626,8536,6938,12644
8,2,1,2019,"Balears, Illes",,,7006,,,,155051,15320,10.12082245,RESIDENCIAL,,5339,4243,3667,3364,3219,3362,4123,5178,6014,6562,6773,6842,6999,7297,7441,7228,7028,7248,8115,8927,9821,10108,8868,7285,0
9,3,1,2019,"Balears, Illes",,,7006,,,,163726,15319,10.68777335,RESIDENCIAL,,5636,4391,3758,3388,3252,3421,4250,5432,6192,6804,6877,6881,6976,7502,7627,7512,7501,7952,8942,9846,10879,11100,9707,7900,0
10,4,1,2019,"Balears, Illes",,,7006,,,,169364,15322,11.05364835,RESIDENCIAL,,6000,4699,3937,3572,3474,3613,4442,5668,6506,7111,7312,7289,7323,7906,8068,7820,7740,8169,9172,9941,10848,10874,9687,8193,0
11,5,1,2019,"Balears, Illes",,,7006,,,,165863,15325,10.82303426,RESIDENCIAL,,6383,5015,4198,3759,3567,3656,4181,4791,5805,6948,7545,7745,7663,7958,8131,8028,7959,8072,8521,8901,9709,10047,9209,8072,0
12,6,1,2019,"Balears, Illes",,,7006,,,,161798,15327,10.55640373,RESIDENCIAL,,6489,5231,4346,3782,3517,3529,3716,4115,5105,6456,7410,7692,7642,7568,7199,6656,6677,7323,8812,9884,10825,10799,9432,7593,0
13,7,1,2019,"Balears, Illes",,,7006,,,,170411,15330,11.11617743,RESIDENCIAL,,5576,4343,3751,3430,3316,3598,4788,6601,7040,6775,6754,6808,6963,7381,7666,7749,7763,8166,9330,10574,11730,11801,10350,8158,0
49,8,1,2019,"Balears, Illes",,,7006,,,,173394,15333,11.30855019,RESIDENCIAL,,5976,4582,3860,3577,3456,3673,4938,6851,7301,7004,6853,6822,6962,7513,7725,7721,7625,8117,9435,10682,11914,12064,10486,8257,0
50,9,1,2019,"Balears, Illes",,,7006,,,,172433,15335,11.24440822,RESIDENCIAL,,6020,4671,3956,3634,3517,3714,4941,6810,7288,6988,6900,6851,7013,7507,7709,7621,7651,8053,9285,10431,11688,11823,10312,8050,0
51,10,1,2019,"Balears, Illes",,,7006,,,,182292,15335,11.8873166,RESIDENCIAL,,5861,4522,3902,3609,3526,3725,4972,6874,7521,7214,7333,7313,7602,8159,8402,8305,8283,8877,10111,11279,12479,12606,11093,8724,0
52,11,1,2019,"Balears, Illes",,,7006,,,,187159,15336,12.20389932,RESIDENCIAL,,6461,5038,4262,3918,3805,4009,5279,7186,7502,7262,7333,7283,7490,8331,8925,8951,8795,9091,10233,11272,12227,12366,10998,9142,0
53,12,1,2019,"Balears, Illes",,,7006,,,,186969,15335,12.19230518,RESIDENCIAL,,7149,5625,4695,4180,3953,4067,4630,5363,6576,7813,8376,8365,8270,8874,9485,9307,8922,9116,9996,10697,11165,11282,10259,8804,0
54,13,1,2019,"Balears, Illes",,,7006,,,,181450,15337,11.83086653,RESIDENCIAL,,7145,5727,4816,4218,3928,3932,4098,4536,5551,7024,8018,8287,8122,8460,8603,8149,8028,8625,10036,11204,12095,11971,10495,8382,0
55,14,1,2019,"Balears, Illes",,,7006,,,,175099,15337,11.4167699,RESIDENCIAL,,6195,4741,4071,3729,3617,3844,5079,7024,7358,7085,7002,7007,7151,7672,7902,7727,7632,8009,9210,10585,11857,12030,10368,8204,0
91,15,1,2019,"Balears, Illes",,,7006,,,,174026,15340,11.34458931,RESIDENCIAL,,6067,4721,4006,3691,3578,3772,5055,6984,7379,6940,6979,6816,6958,7411,7788,7658,7606,8111,9459,10533,11774,11911,10434,8395,0
92,16,1,2019,"Balears, Illes",,,7006,,,,175869,15363,11.44756883,RESIDENCIAL,,6110,4738,3942,3632,3528,3735,4982,6826,7205,6949,7070,7271,7514,8036,8435,8406,8388,8654,9567,10498,11357,11265,9876,7885,0
93,17,1,2019,"Balears, Illes",,,7006,,,,168953,15411,10.96314321,RESIDENCIAL,,5901,4591,3929,3626,3510,3674,4796,6656,7164,6866,6729,6616,6730,7109,7415,7580,7581,8145,9164,10488,11447,11312,9983,7941,0
94,18,1,2019,"Balears, Illes",,,7006,,,,180045,15467,11.64058964,RESIDENCIAL,,5943,4691,3943,3615,3523,3737,4901,6737,7224,7171,7305,7303,7545,8286,8756,8991,9049,9365,10123,10741,11469,11366,10004,8257,0
95,19,1,2019,"Balears, Illes",,,7006,,,,172581,15471,11.15512895,RESIDENCIAL,,6557,5197,4355,3934,3715,3777,4254,4960,6062,7466,7889,7934,7893,8261,8502,8512,8188,8588,9489,9868,10136,9935,9106,8003,0
96,20,1,2019,"Balears, Illes",,,7006,,,,180665,15485,11.66709719,RESIDENCIAL,,6750,5510,4628,4113,3851,3789,3927,4271,5167,6612,8055,9132,9583,10038,9333,8568,8276,8654,9541,10417,11126,11116,9899,8309,0
97,21,1,2019,"Balears, Illes",,,7006,,,,181722,15492,11.73005422,RESIDENCIAL,,6530,5109,4266,3784,3622,3705,4082,4708,5786,7020,8002,8328,8414,8977,8915,8810,8465,8950,10141,11071,11997,12056,10602,8382,0
133,22,1,2019,"Balears, Illes",,,7006,,,,191081,15501,12.32701116,RESIDENCIAL,,6262,4819,4131,3782,3694,3871,5053,7080,7612,7481,7431,7395,7506,8406,8899,9052,9033,9468,10792,12156,13348,13280,11505,9025,0
134,23,1,2019,"Balears, Illes",,,7006,,,,196445,15492,12.6804157,RESIDENCIAL,,6733,5204,4391,4002,3880,4047,5431,7474,7881,7776,8077,8419,8654,9334,9631,9209,8995,9379,10509,11667,12840,12890,11265,8757,0
135,24,1,2019,"Balears, Illes",,,7006,,,,195206,15499,12.59474805,RESIDENCIAL,,6549,5033,4329,3974,3890,4085,5523,7600,8140,7941,8135,8246,8329,8830,8968,8835,8676,9131,10478,11911,13056,13044,11419,9084,0
136,25,1,2019,"Balears, Illes",,,7006,,,,187021,15497,12.06820675,RESIDENCIAL,,6786,5306,4469,4127,4019,4203,5572,7622,8038,7824,7652,7512,7812,8132,8377,8339,8651,9099,9962,10937,11709,11746,10400,8727,0
137,26,1,2019,"Balears, Illes",,,7006,,,,173185,15502,11.17178429,RESIDENCIAL,,6898,5434,4571,4089,3881,3933,4481,5233,6470,7539,8041,7882,7777,8145,8220,7970,7822,7915,8881,9677,10317,10494,9461,8054,0
138,27,1,2019,"Balears, Illes",,,7006,,,,168928,15502,10.89717456,RESIDENCIAL,,6510,5161,4340,3857,3654,3630,3808,4196,5177,6675,7573,7811,7895,8051,7865,7385,7329,7696,9176,10608,11554,11375,9817,7785,0
139,28,1,2019,"Balears, Illes",,,7006,,,,175735,15506,11.33335483,RESIDENCIAL,,5845,4608,3979,3639,3567,3730,4973,6859,7275,7057,7031,7126,7342,7922,8147,7992,7867,8176,9406,10728,11895,11947,10411,8213,0
175,29,1,2019,"Balears, Illes",,,7006,,,,178641,15506,11.52076616,RESIDENCIAL,,6136,4722,4042,3694,3578,3770,4958,6858,7262,7067,7191,7404,7746,7980,8399,8518,8497,8665,9577,10690,11764,11710,10238,8175,0
176,30,1,2019,"Balears, Illes",,,7006,,,,174697,15495,11.2744111,RESIDENCIAL,,6135,4922,4161,3815,3689,3833,5119,7068,7437,7244,7244,7180,7251,7637,7804,7626,7468,7791,8996,10369,11552,11784,10350,8222,0
177,31,1,2019,"Balears, Illes",,,7006,,,,156839,15492,10.12387038,RESIDENCIAL,,6118,4821,4093,3737,3620,3772,4904,6758,7104,6890,6654,6541,6903,7350,7291,7055,6953,7216,8315,9522,10572,10583,9296,771,0
178,1,2,2019,"Balears, Illes",,,7006,,,,161577,15294,10.56473127,RESIDENCIAL,,5609,4527,3863,3538,3453,3590,4591,6260,6732,6691,6869,7124,7287,7616,7804,7522,7273,7249,8164,9336,10191,10067,8795,7426,0
179,2,2,2019,"Balears, Illes",,,7006,,,,171498,15295,11.21268388,RESIDENCIAL,,5914,4768,4005,3633,3537,3529,4033,4701,5833,7121,7844,7817,7967,8635,8910,8764,8415,8554,9237,9906,10497,10474,9366,8038,0
180,3,2,2019,"Balears, Illes",,,7006,,,,171129,15295,11.18855835,RESIDENCIAL,,6480,5324,4398,3938,3726,3699,3866,4285,5284,6584,7657,7961,7856,7995,7990,7697,7622,7996,9136,10465,11552,11562,10040,8016,0
181,4,2,2019,"Balears, Illes",,,7006,,,,175755,15296,11.49025889,RESIDENCIAL,,5997,4774,4089,3752,3621,3813,5186,7035,7320,6950,6911,6966,7022,7449,7789,7803,7638,7795,9080,10650,12163,12505,10930,8517,0
217,5,2,2019,"Balears, Illes",,,7006,,,,178661,15296,11.6802432,RESIDENCIAL,,6285,4848,4164,3863,3748,3938,5285,7309,7544,7306,7175,7305,7609,7891,8177,7842,7713,7902,9033,10622,11925,12176,10629,8372,0
218,6,2,2019,"Balears, Illes",,,7006,,,,169408,15296,11.07531381,RESIDENCIAL,,6265,4895,4163,3804,3706,3868,5119,7093,7326,6970,6899,6779,6835,7151,7337,7196,7194,7333,8463,10049,11435,11432,10066,8030,0
219,7,2,2019,"Balears, Illes",,,7006,,,,164603,15299,10.75906922,RESIDENCIAL,,6044,4747,4046,3734,3604,3759,4995,6996,7329,6968,6810,6678,6723,7103,7323,7075,6918,7038,8139,9547,10753,10979,9616,7679,0
220,8,2,2019,"Balears, Illes",,,7006,,,,162565,15300,10.6251634,RESIDENCIAL,,5905,4692,4008,3630,3552,3715,5031,6875,7126,6799,6751,6716,6740,7157,7490,7530,7257,7316,8188,9256,10043,10180,9050,7558,0
221,9,2,2019,"Balears, Illes",,,7006,,,,159388,15300,10.41751634,RESIDENCIAL,,6140,4951,4160,3822,3636,3643,4167,4855,5987,7134,7427,7331,7313,7636,7586,7270,6984,6999,7851,8794,9625,9791,8720,7566,0
222,10,2,2019,"Balears, Illes",,,7006,,,,155347,15300,10.15339869,RESIDENCIAL,,6033,4957,4151,3722,3531,3538,3706,4070,5069,6379,7133,7237,7212,7342,7231,6846,6867,7058,8016,9368,10160,9970,8727,7024,0
223,11,2,2019,"Balears, Illes",,,7006,,,,156786,15301,10.24678126,RESIDENCIAL,,5345,4343,3745,3438,3359,3509,4717,6524,6859,6556,6563,6444,6568,6945,7025,6841,6726,6738,7767,9332,10496,10562,9164,7220,0
259,12,2,2019,"Balears, Illes",,,7006,,,,156663,15303,10.23740443,RESIDENCIAL,,5445,4313,3724,3450,3349,3512,4743,6603,6842,6508,6490,6434,6513,6795,6938,6807,6551,6744,7711,9212,10456,10815,9350,7358,0
