#,Job_ID,ModelFile,@@n50@@,@@TURN@@,@@flag_AW@@,@@EXT_WALL@@,@@EXT_ROOF@@,@@EXT_WINDOW_street@@,@@EXT_WINDOW_patio@@,@@M04_WALL@@,@@AI02_ROOF@@,Message,Errors,Warnings,Calculation Time,Trace %Time,Trace Components
0,BC0_0,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES,B_1901-1940_ROOF1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.01,0.01,TRNSYS Completed Successfully,0,30,718.6300 Seconds,0.00%,-
2,BC0_180,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES,B_1901-1940_ROOF1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.01,0.01,TRNSYS Completed Successfully,0,31,716.7200 Seconds,0.00%,-
3,BC0_270,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES,B_1901-1940_ROOF1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.01,0.01,TRNSYS Completed Successfully,0,31,717.0300 Seconds,0.00%,-
1,BC0_90,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES,B_1901-1940_ROOF1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.01,0.01,TRNSYS Completed Successfully,0,31,717.2800 Seconds,0.00%,-
12,P111_0_W8_R10,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,TRNSYS Completed Successfully,0,30,717.0000 Seconds,0.00%,-
16,P111_0_W8_R12,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.12,TRNSYS Completed Successfully,0,30,715.3800 Seconds,0.00%,-
20,P111_0_W8_R14,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.14,TRNSYS Completed Successfully,0,30,688.7500 Seconds,0.00%,-
4,P111_0_W8_R6,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.06,TRNSYS Completed Successfully,0,30,716.5600 Seconds,0.00%,-
8,P111_0_W8_R8,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.08,TRNSYS Completed Successfully,0,30,716.7200 Seconds,0.00%,-
14,P111_180_W8_R10,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,TRNSYS Completed Successfully,0,31,715.0200 Seconds,0.00%,-
18,P111_180_W8_R12,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.12,TRNSYS Completed Successfully,0,31,715.0700 Seconds,0.00%,-
22,P111_180_W8_R14,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.14,TRNSYS Completed Successfully,0,31,686.4400 Seconds,0.00%,-
6,P111_180_W8_R6,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.06,TRNSYS Completed Successfully,0,31,716.5300 Seconds,0.00%,-
10,P111_180_W8_R8,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.08,TRNSYS Completed Successfully,0,31,715.7400 Seconds,0.00%,-
15,P111_270_W8_R10,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,TRNSYS Completed Successfully,0,31,714.6700 Seconds,0.00%,-
19,P111_270_W8_R12,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.12,TRNSYS Completed Successfully,0,31,713.5300 Seconds,0.00%,-
23,P111_270_W8_R14,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.14,TRNSYS Completed Successfully,0,31,684.2900 Seconds,0.00%,-
7,P111_270_W8_R6,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.06,TRNSYS Completed Successfully,0,31,713.4900 Seconds,0.00%,-
11,P111_270_W8_R8,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.08,TRNSYS Completed Successfully,0,31,714.6900 Seconds,0.00%,-
13,P111_90_W8_R10,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,TRNSYS Completed Successfully,0,31,714.9800 Seconds,0.00%,-
17,P111_90_W8_R12,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.12,TRNSYS Completed Successfully,0,31,713.9200 Seconds,0.00%,-
21,P111_90_W8_R14,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.14,TRNSYS Completed Successfully,0,31,685.7400 Seconds,0.00%,-
5,P111_90_W8_R6,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.06,TRNSYS Completed Successfully,0,31,715.0000 Seconds,0.00%,-
9,P111_90_W8_R8,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB1,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.08,TRNSYS Completed Successfully,0,31,715.5400 Seconds,0.00%,-
24,P112_0_W8_R10,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB2,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,TRNSYS Completed Successfully,0,30,686.8000 Seconds,0.00%,-
26,P112_180_W8_R10,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB2,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,TRNSYS Completed Successfully,0,31,684.9200 Seconds,0.00%,-
27,P112_270_W8_R10,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB2,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,TRNSYS Completed Successfully,0,31,685.6900 Seconds,0.00%,-
25,P112_90_W8_R10,Building1_whitemodel.dck,10,90,0,EXT_WALL_MARES_REHAB2,B_1901-1940_ROOF1_REHAB2,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,TRNSYS Completed Successfully,0,31,685.6300 Seconds,0.00%,-
28,P121_0_W6_R10,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.06,0.1,TRNSYS Completed Successfully,0,30,686.7700 Seconds,0.00%,-
32,P121_0_W8_R10,Building1_whitemodel.dck,10,0,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,TRNSYS Completed Successfully,0,30,687.9600 Seconds,0.00%,-
30,P121_180_W6_R10,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.06,0.1,TRNSYS Completed Successfully,0,31,686.6300 Seconds,0.00%,-
34,P121_180_W8_R10,Building1_whitemodel.dck,10,180,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.08,0.1,TRNSYS Completed Successfully,0,31,688.7600 Seconds,0.00%,-
31,P121_270_W6_R10,Building1_whitemodel.dck,10,270,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,B_1901-1940_WIN_STREET,B_1901-1940_WIN_PATIO,0.06,0.1,TRNSYS Completed Successfully,0,31,686.5200 Seconds,0.00%,-
